"","userIDs","implementation","Line_ID","ChatGroup","content","group_id","RoleName","roomName","m_experimental_testing","m_making_design_choices","m_asking_questions","j_customer_consultants_requests","j_performance_parameters_requirements","j_communication","OutcomeScore","wordCount"
"25","7","a",25,"PRNLT","what citation method do we use to site our sources. nothing was specified....",2,"Player","Background research on dialysis",0,0,0,0,0,0,5,13
"26","1","a",26,"PRNLT","Once Alex receives your notebook you should receive an email with feedback shortly thereafter. I recommend completing any notebook revisions or helping your teammates finish their deliverables while you wait for his feedback. As soon as all of your team's deliverables have been submitted and witnessed, you can get started on the next task.",2,"Mentor","Background research on dialysis",0,1,0,0,0,0,4,54
"27","7","a",27,"PRNLT","i can not access a new notebook to complete my assignment",2,"Player","Background research on dialysis",0,0,0,0,0,0,5,11
"28","1","a",28,"PRNLT","I posted another notebook entry from my old internship in the shared space. In my internship we studied control sensors and power sources, but you're looking at surfactants. Nevertheless, you're welcome to use the example to model your own response after.",2,"Mentor","Graphing Surfactant Data",1,0,0,0,0,0,4,41
"29","1","a",29,"PRNLT","After you've submitted a notebook and are waiting for feedback from Alex, you should help any of your teammates who haven't submitted their deliverable yet. You could also wrap up notebook revisions you didn't have time to finish earlier. If you still have time before your team meeting, you may want to start working on the final presentation that you will be giving at the end of the internship. You can find an outline of what Alex expects from your presentations in the resource section of Workpro. I recommend that you start working on the background research section of the presentation now.",2,"Mentor","Graphing Surfactant Data",0,1,0,0,0,0,4,102
"30","2","a",30,"PRNLT","Where do we go to start the discussion",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,8
"31","2","a",31,"PRNLT","Where do we go to start the discussion?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,8
"32","1","a",32,"PRNLT","Based on your surfactant graph, how did the surfactants perform relative to one another?",2,"Mentor","Reflection team discussion of surfactants",0,0,1,0,1,0,4,14
"33","3","a",33,"PRNLT","Is that mean which two or more are relative?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,9
"34","1","a",34,"PRNLT","Was there one surfactant that was obviously the best choice?",2,"Mentor","Reflection team discussion of surfactants",0,0,1,0,0,0,4,10
"35","3","a",35,"PRNLT","In my table and pattern, Biological surfactant is",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,8
"36","3","a",36,"PRNLT","the best i think",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,4
"37","1","a",37,"PRNLT","Was there one surfactant that performed well for every attribute?",2,"Mentor","Reflection team discussion of surfactants",0,0,1,0,0,0,4,10
"38","7","a",38,"PRNLT","It was best but had the highest cost",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,8
"39","7","a",39,"PRNLT","Steric Hindering performed well and had a cost less than biological",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,11
"40","3","a",40,"PRNLT","If the surfactant is more focus on the cost rank and marketability, it is hard to make sure other three quality. No one performed well for everything",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,27
"41","2","a",41,"PRNLT","I somehow managed to miss the assignment which is obviously the bases of this discussion. I am working on it now and will attempt to join the conversation later. Sorry!",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,30
"42","6","a",42,"PRNLT","Yes the most consistent one was Steric Hindering",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,8
"43","7","a",43,"PRNLT","I would agree with Steric Hindering.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,6
"44","1","a",44,"PRNLT","How did you choose the best surfactant?",2,"Mentor","Reflection team discussion of surfactants",0,1,1,0,0,0,4,7
"45","7","a",45,"PRNLT","Its overall performance in all 5 attributes.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,7
"46","3","a",46,"PRNLT","If i find my chart is wrong, what should i do",2,"Player","Reflection team discussion of surfactants",0,1,0,0,0,0,4,11
"47","4","a",47,"PRNLT","flux at time equals 0 did not matter as they were all teh same",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,14
"48","6","a",48,"PRNLT","Yeah I prioritized flux the lowest",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,6
"49","3","a",49,"PRNLT","k",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,1
"50","8","a",50,"PRNLT","What are we suppose to be discussing?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,7
"51","1","a",51,"PRNLT","How were the surfactant graphs helpful in making your final surfactant choice?",2,"Mentor","Reflection team discussion of surfactants",0,0,1,0,0,0,4,12
"52","6","a",52,"PRNLT","I feel if the Hydrophilic surfactant had a little better blood cell reactivity then it would be the best overall due to its high reliability.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,1,0,2,25
"53","4","a",53,"PRNLT","They were helpful because they showed the benefits and weaknesses very well and i agree hydrophilic is pretty good with reliability and cost",2,"Player","Reflection team discussion of surfactants",0,0,0,0,1,0,4,23
"54","2","a",54,"PRNLT","Well I can tell you that graphs would be helpful so it keeps all data in the same area, in turn that makes it easier to compare and contrast the data.",2,"Player","Reflection team discussion of surfactants",1,0,0,0,1,0,4,31
"55","8","a",55,"PRNLT","I think it helped put the numerical data in relation to other surfactants. Some of them appear good on paper, but for example the Biological surfactant looks good on paper but on the graph you can see how much the cost is related to the other surfactants",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,47
"56","1","a",56,"PRNLT","Did you value some attributes more than others when choosing the best surfactant?",2,"Mentor","Reflection team discussion of surfactants",0,0,1,0,0,0,4,13
"57","6","a",57,"PRNLT","Reliability was a top priority as well as cost",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,9
"58","8","a",58,"PRNLT","I thought that marketability was the least important, because if something does its job well then the marketability would go up, so it feels like the marketability is a combination of the other 4 attributes combined.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,36
"59","7","a",59,"PRNLT","Marketability seemed to be lower on the list",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,8
"60","2","a",60,"PRNLT","I think that one of the least would have to be Marketability",2,"Player","Reflection team discussion of surfactants",0,1,0,0,0,0,4,12
"61","3","a",61,"PRNLT","A company should consider the cost and quality",2,"Player","Reflection team discussion of surfactants",0,1,0,0,0,0,4,8
"62","7","a",62,"PRNLT","performance was the top priority in my eyes.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,8
"63","2","a",63,"PRNLT","I think however the cost would be a large factor as well",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,12
"64","2","a",64,"PRNLT","Cost and reliability was the most important to me",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,9
"65","3","a",65,"PRNLT","People may not choose a product affected by cost, especially it relatives to the life",2,"Player","Reflection team discussion of surfactants",0,1,0,0,0,0,4,15
"66","6","a",66,"PRNLT","Cost would probably be a huge factor honestly",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,8
"67","3","a",67,"PRNLT","If i got cancer or others, I will choose the best even if the cost is rather higher than others",2,"Player","Reflection team discussion of surfactants",0,1,0,0,1,0,4,20
"68","6","a",68,"PRNLT","If you got cancer think about the people paying them bills though",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,12
"69","8","a",69,"PRNLT","I agree with Zelin, In a non medical situation, cost is very important, but in this situation cost is not as important, because the surfactant that cost the most, does the best job.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,1,0,4,33
"70","2","a",70,"PRNLT","Well cost greatly affects marketability. If you have a product that no hospital can keep on hand, then no one will use it. This is a medical company, and profit does need to be made.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,35
"71","5","a",71,"PRNLT","i agree that cost is a factor but i would rather have a better working surfactant and pay more.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,19
"72","6","a",72,"PRNLT","This isn't a life or death situation honestly I think the most reliable one would be the best option",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,19
"73","4","a",73,"PRNLT","But in terms of comfort of the patient the most expensive might be the way to go since the blood cell reactivity is lowest in the most expensive",2,"Player","Reflection team discussion of surfactants",0,0,0,1,1,0,4,28
"74","2","a",74,"PRNLT","So really it come down to what kind of people we would be selling this product to. Cheaper yet not as comfortable, or expensive and comfortable.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,1,0,4,26
"75","3","a",75,"PRNLT","Maybe here is another way. Cheap with low quality.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,9
"76","1","a",76,"PRNLT","What should your team's next step be?",2,"Mentor","Reflection team discussion of surfactants",0,1,1,0,0,0,4,7
"77","7","a",77,"PRNLT","decide which surfactant to use?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,5,5
"78","6","a",78,"PRNLT","The Biological which is the most expensive one but the worst reliability out of the surfactanst which means you will have to go through more of them thus paying a bunch more money even though according to some most expensive equals best quality",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,43
"79","2","a",79,"PRNLT","That is a good point Royce! Although comfortable, is it reliable?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,11
"80","4","a",80,"PRNLT","I think steric hindering because it is high quality yet does not cost as much as biological and still has a few better components to it than biological",2,"Player","Reflection team discussion of surfactants",0,0,0,0,1,0,4,28
"81","7","a",81,"PRNLT","I agree with steric hindering",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,5
"82","8","a",82,"PRNLT","I agree not to use the biological, but I think the negative charge would be a better choice",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,18
"83","8","a",83,"PRNLT","It does basically the same job as steric, but cost $60 less",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,12
"84","6","a",84,"PRNLT","I'm saying biological isn't the best. Hydrophilic is my recommendation just because it is the most reliable",2,"Player","Reflection team discussion of surfactants",0,0,0,0,1,0,2,17
"85","7","a",85,"PRNLT","but has a much better score for marketability for $60 more",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,11
"86","8","a",86,"PRNLT","I thought we determined that marketability did not matter as much as cost",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,13
"87","6","a",87,"PRNLT","Cost matters more than marketability",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,5
"88","2","a",88,"PRNLT","So can we agree to eliminate Bio and Steric?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,9
"89","6","a",89,"PRNLT","Yes",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,1
"90","7","a",90,"PRNLT","sure",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,5,1
"91","8","a",91,"PRNLT","I think we need to here from everyone, but yes I agree",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,12
"92","8","a",92,"PRNLT","hear",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,1
"93","3","a",93,"PRNLT","agree",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,1
"94","7","a",94,"PRNLT","so is negative our best option?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,1,0,5,6
"95","6","a",95,"PRNLT","no Hydrophilic",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,2
"96","2","a",96,"PRNLT","Correct, so we have narrowed it down to 2 possible candidates.",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,11
"97","6","a",97,"PRNLT","Better reliability and cost",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,4
"98","2","a",98,"PRNLT","Negative charge and Hydrophilic",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,4
"99","8","a",99,"PRNLT","I think we need more research looking into how the beta- thermoheglobin effects the blood long term",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,17
"100","5","a",100,"PRNLT","more research never hurt anyone",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,2,5
"101","3","a",101,"PRNLT","right  need more data",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,4
"102","8","a",102,"PRNLT","I would be fine using hydrophilic, but I want to look at the effects of blood reactivity",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,17
"103","2","a",103,"PRNLT","Okay!",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,1
"104","2","a",104,"PRNLT","Is this meeting over than Maria?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,6
"105","2","a",105,"PRNLT","can anyone tell me how to get the reliablility numbers and flux umbers?",2,"Player","Reflection team discussion of surfactants",0,0,1,0,0,0,4,13
"106","2","a",106,"PRNLT","Scratch that. Figured it out!",2,"Player","Reflection team discussion of surfactants",0,0,0,0,0,0,4,5
"107","1","a",107,"PRNLT","Hey everyone, I just posted my write-up of mechanical engineering consultants' requirements during my time as an intern. You can find my write-up in the shared space.",2,"Mentor","Summarize internal consultant requirements",0,0,0,0,0,0,4,27
"108","1","a",108,"PRNLT","At Nephrotex, we have internal consultants who are experts in their fields.",2,"Mentor","Summarize internal consultant requirements",0,0,0,0,0,0,4,12
"109","1","a",109,"PRNLT","Let me know if you have any questions about their requirements for membrane design.",2,"Mentor","Summarize internal consultant requirements",0,0,0,0,0,0,4,14
"110","1","a",110,"PRNLT","You probably want to check their staff pages for more information too.",2,"Mentor","Summarize internal consultant requirements",0,0,0,0,0,0,4,12
"111","2","a",111,"PRNLT","What would you like us to put in the attribute portion of the notebook?",2,"Player","Summarize internal consultant requirements",0,0,1,0,0,0,4,14
"112","8","a",112,"PRNLT","I am confused about a few things with this system. Alex emailed me at 12:30am this morning telling me I need to revise my notebook entry and resubmit. Obviously I did not see this email until I logged on today at 1:30, and at 1:29 he sent me an email saying it is too late to submit the revisions and I should move on. I am just worried that I am missing points for stuff that wasn't my control, and is there a better way to manage communication.",2,"Player","Summarize internal consultant requirements",1,1,0,0,0,0,4,88
"113","2","a",113,"PRNLT","Thank You!",2,"Player","Summarize internal consultant requirements",0,0,0,0,0,0,4,2
"114","5","a",114,"PRNLT","what about recommendation",2,"Player","Summarize internal consultant requirements",0,0,0,0,0,0,2,3
"115","5","a",115,"PRNLT","ok thank you",2,"Player","Summarize internal consultant requirements",0,0,0,0,0,0,2,3
"116","8","a",116,"PRNLT","How do we talk about the standards for marketability, when it relates to the cost?",2,"Player","Summarize internal consultant requirements",0,0,1,0,0,0,4,15
"117","8","a",117,"PRNLT","specifically for Rudy hernandex",2,"Player","Summarize internal consultant requirements",0,0,0,0,0,0,4,4
"118","1","a",118,"PRNLT","As an intern, I had to describe how certain inputs influence outputs. I've posted my write-up in the shared space for your reference.",2,"Mentor","Choose consultants to analyze",0,0,0,0,0,0,4,23
"119","1","a",119,"PRNLT","Your goal here is to understand how, given a particular material, the different design parameters affect the attributes of the prototype.",2,"Mentor","Choose consultants to analyze",0,0,0,0,0,0,4,21
"120","1","a",120,"PRNLT","Alex wants you to figure out which design choices the different internal consultants will favor assuming we were to use your team's material.",2,"Mentor","Choose consultants to analyze",0,0,0,0,0,0,4,23
"121","4","a",121,"PRNLT","how would we recommend a surfactant that does not meet requirements such as the the person who wants a flux rate of 13.5 however the highest flux available is only 11",2,"Player","Choose consultants to analyze",0,0,0,0,1,0,4,31
"122","8","a",122,"PRNLT","I am reading our assignment due Friday, and I am not understanding it. Do we review that consultants from today's assignment?",2,"Player","Choose consultants to analyze",0,0,1,0,0,0,4,21
"123","8","a",123,"PRNLT","I can do Padma Rao, what does everyone else want?",2,"Player","Choose consultants to analyze",0,0,1,0,0,0,4,10
"124","2","a",124,"PRNLT","I will do Michelle Proctor!",2,"Player","Choose consultants to analyze",0,0,0,0,0,0,4,5
"125","4","a",125,"PRNLT","ill do Alan DuChamp",2,"Player","Choose consultants to analyze",0,0,0,0,0,0,4,4
"126","5","a",126,"PRNLT","ill do Michelle Proctor",2,"Player","Choose consultants to analyze",0,0,0,0,0,0,2,4
"127","5","a",127,"PRNLT","actually ill to Rudy Hernandez",2,"Player","Choose consultants to analyze",0,0,0,0,0,0,2,5
"128","6","a",128,"PRNLT","This is all just a game",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,2,6
"129","1","a",129,"PRNLT","Back in my internship, I had to justify the design decisions I made, and found it a very useful practice. Working for Alex, I know he would like to see a similar style of justification, so I posted an old notebook of mine in the shared space for your reference.",2,"Mentor","Individuals design 5 prototypes",0,0,0,0,0,1,4,50
"130","6","a",130,"PRNLT","Your not real",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,2,3
"131","5","a",131,"PRNLT","you're*",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,2,1
"132","1","a",132,"PRNLT","Just to be clear, each team member should design 5 prototypes using only PRNLT materials.",2,"Mentor","Individuals design 5 prototypes",0,1,0,0,0,1,4,15
"133","8","a",133,"PRNLT","How do I put my notebook on shared space",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,9
"134","5","a",134,"PRNLT","you check the box",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,2,4
"135","8","a",135,"PRNLT","thank yo",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,2
"136","8","a",136,"PRNLT","you",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,1
"137","6","a",137,"PRNLT","Maria, to clarify are you a real person or is this just all a game?",2,"Player","Individuals design 5 prototypes",0,0,1,0,0,0,2,15
"138","6","a",138,"PRNLT","Maria, I googled Nephrotex and it came up as a game for undergraduate engineers what is going on here?",2,"Player","Individuals design 5 prototypes",0,0,1,0,0,0,2,19
"139","1","a",139,"PRNLT","Keep in mind that your supervisor and other Nephrotex employees can read the record of this discussion. Please stay on task, Royce.",2,"Mentor","Introduction and Workflow Tutorial with Entrance Interview",0,0,0,0,0,0,4,22
"140","2","a",140,"PRNLT","Can someone please better explain to me what exactly CNT% means?",2,"Player","Individuals design 5 prototypes",0,0,1,0,0,0,4,11
"141","6","a",141,"PRNLT","Carbon nanotube",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,2,2
"142","2","a",142,"PRNLT","Right but what does the percent mean?",2,"Player","Individuals design 5 prototypes",0,0,1,0,0,0,4,7
"143","6","a",143,"PRNLT","IDK",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,2,1
"144","4","a",144,"PRNLT","how many there are in the concentration of the solution",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,10
"145","2","a",145,"PRNLT","The amount of nano tubes in the filter?\",2,"Player","Individuals design 5 prototypes",0,0,1,0,0,0,4,8
"146","2","a",146,"PRNLT","Thank you!",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,2
"147","8","a",147,"PRNLT","yes, there is a research study under resources if you need a reference",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,13
"148","4","a",148,"PRNLT","are we only making prototypes for our consultant",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,8
"149","8","a",149,"PRNLT","From what I understand its one for each of the five consultants.",2,"Player","Individuals design 5 prototypes",0,0,0,0,0,0,4,12
"150","6","a",150,"PRNLT","Definitely based on your own consultant",2,"Player","Individuals design 5 prototypes",0,0,0,1,0,0,2,6
"151","1","a",151,"PRNLT","Alex wanted me to inform you of a few things you can do after you submit a notebook. You can help your teammates complete their deliverables, revise incomplete notebooks, or work on your presentation. Your presentation should include everything on the presentation outline, which is located in the resources section of Workpro. You may want to consider doing some research on design challenges about developing a dialyzer.",2,"Mentor","Individuals design 5 prototypes",0,1,0,0,0,0,4,67
"152","8","a",152,"PRNLT","do the five designs we chose need to fulfill the requirements of the consultants",2,"Player","Team designs batch using 1 material",0,1,0,0,0,0,4,14
"153","8","a",153,"PRNLT","?",2,"Player","Team designs batch using 1 material",0,0,1,0,0,0,4,1
"154","7","a",154,"PRNLT","other than the PRNLT material, are there any other variables that we feel should remain constant over all 5 models that we test? 10% CNT was something I thought would be best to not change. Thoughts?",2,"Player","Team designs batch using 1 material",1,1,1,0,0,0,5,36
"155","5","a",155,"PRNLT","i think the Dry jet is the most efficient and economical process",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,2,12
"156","8","a",156,"PRNLT","I also agree",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,3
"157","2","a",157,"PRNLT","Can someone go over those please. I do not understand what any of those mean. With Royce's workbook I concluded that vapor was the best. Where can I find more information?",2,"Player","Team designs batch using 1 material",0,0,1,0,0,0,4,31
"158","7","a",158,"PRNLT","""Device Specifications - Polyrenalate(PRNLT)

- Choose consultants to analyze"" in resources",2,"Player","Team designs batch using 1 material",0,1,0,0,0,0,5,10
"159","5","a",159,"PRNLT","and with a CNT% of between 5 and 10%.  double checking but we want a high flux correct?",2,"Player","Team designs batch using 1 material",0,0,1,0,0,0,2,18
"160","1","a",160,"PRNLT","Don't forget to attach your team's new batch in your notebook.",2,"Mentor","Team designs batch using 1 material",0,0,0,0,0,0,4,11
"161","1","a",161,"PRNLT","Alex will upload your design specifications to the server after you submit your justifications. Each member on your team needs to attach and submit the same batch for testing. Once the first team member attaches and submits your team's batch, the rest of your team members will only have the option to attach that same batch.",2,"Mentor","Team designs batch using 1 material",0,0,0,0,0,0,4,56
"162","8","a",162,"PRNLT","We want whatever is best all around.",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,7
"163","2","a",163,"PRNLT","High flux is good yes. That means the less time they have to spend on the machine",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,17
"164","8","a",164,"PRNLT","and less cost for the customer over time",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,8
"165","8","a",165,"PRNLT","this would also increase the marketability if we had 10% carbon nanotubes",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,12
"166","7","a",166,"PRNLT","So keeping PRNLT and dry- jet wet constant and varying CNT % between 5-10%, what surfactants would be best to use?",2,"Player","Team designs batch using 1 material",1,1,1,0,1,0,5,21
"167","5","a",167,"PRNLT","5-10% wouldnt be as costly as say 20% and that wouldnt even be effective. so 5-10% is good",2,"Player","Team designs batch using 1 material",0,0,0,0,1,0,2,18
"168","8","a",168,"PRNLT","I think that honestly biological is way to much money",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,10
"169","2","a",169,"PRNLT","I agree!",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,2
"170","5","a",170,"PRNLT","i think last time we had it down to negative and they hydophillic",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,2,13
"171","7","a",171,"PRNLT","from discussion we determined hydrophilic and negative charge were best surfacants to use?",2,"Player","Team designs batch using 1 material",0,0,1,0,1,0,5,13
"172","2","a",172,"PRNLT","Biological is just not plausible. Its expensive and nonrelaible",2,"Player","Team designs batch using 1 material",0,0,0,0,0,0,4,9
